age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
50-55,2015,woman,1,0,1,1,0,0
55-60,2015,woman,0.993560587,0.006439413,0.987527935,0.999593238,0.000406762,0.012472065
60-65,2015,woman,0.996666213,0.003333787,0.992574985,1.00075744,-0.00075744,0.007425015
65-70,2015,woman,0.985355079,0.014644921,0.975554361,0.995155798,0.004844202,0.024445639
70-75,2015,woman,0.966859201,0.033140799,0.951334179,0.982384222,0.017615778,0.048665821
75-80,2015,woman,0.950805305,0.049194695,0.930804587,0.970806023,0.029193977,0.069195413
80+,2015,woman,0.771516155,0.228483845,0.736466408,0.806565903,0.193434097,0.263533592
50-55,2015,man,0.991919401,0.008080599,0.980471438,1.003367364,-0.003367364,0.019528562
55-60,2015,man,0.991185308,0.008814692,0.983738537,0.998632078,0.001367922,0.016261463
60-65,2015,man,0.989615335,0.010384665,0.978401058,1.000829612,-0.000829612,0.021598942
65-70,2015,man,0.972799671,0.027200329,0.958735545,0.986863797,0.013136203,0.041264455
70-75,2015,man,0.961408543,0.038591457,0.943993739,0.978823347,0.021176653,0.056006261
75-80,2015,man,0.944318143,0.055681857,0.921586363,0.967049924,0.032950076,0.078413637
80+,2015,man,0.848630266,0.151369734,0.807994687,0.889265845,0.110734155,0.192005313
