"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy"
"50-55","2015","woman",0.925927849491159,0.0740721505088408,0.897948606908635,0.953907092073683,0.0460929079263169,0.102051393091365
"55-60","2015","woman",0.847204259041264,0.152795740958736,0.81111191290377,0.883296605178758,0.116703394821242,0.18888808709623
"60-65","2015","woman",0.872511003374621,0.127488996625379,0.847844714274627,0.897177292474615,0.102822707525385,0.152155285725373
"65-70","2015","woman",0.868433831301256,0.131566168698744,0.844619457968818,0.892248204633694,0.107751795366306,0.155380542031182
"70-75","2015","woman",0.802303148619416,0.197696851380584,0.770656311696037,0.833949985542795,0.166050014457205,0.229343688303963
"75-80","2015","woman",0.797869485860641,0.202130514139359,0.764104292190966,0.831634679530317,0.168365320469683,0.235895707809034
"80+","2015","woman",0.605166931590554,0.394833068409446,0.565680178745991,0.644653684435118,0.355346315564882,0.434319821254009
"50-55","2015","man",0.942440071098306,0.057559928901694,0.914013442350186,0.970866699846426,0.029133300153574,0.0859865576498141
"55-60","2015","man",0.908599971549611,0.0914000284503891,0.879048683269813,0.938151259829409,0.061848740170591,0.120951316730187
"60-65","2015","man",0.876655766811614,0.123344233188386,0.850800129113724,0.902511404509504,0.097488595490496,0.149199870886276
"65-70","2015","man",0.839207638031128,0.160792361968872,0.810048970381481,0.868366305680775,0.131633694319225,0.189951029618519
"70-75","2015","man",0.825325009856308,0.174674990143692,0.792669959217839,0.857980060494776,0.142019939505224,0.207330040782161
"75-80","2015","man",0.748942756201875,0.251057243798125,0.708415408850541,0.789470103553209,0.210529896446791,0.291584591149459
"80+","2015","man",0.681280134284365,0.318719865715636,0.637138159802884,0.725422108765845,0.274577891234155,0.362861840197116
