"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy"
"50-55","2015","woman",0.475494191039511,0.524505808960489,0.441323794065886,0.509664588013136,0.490335411986864,0.558676205934114
"55-60","2015","woman",0.356155262779532,0.643844737220468,0.318923798627999,0.393386726931066,0.606613273068934,0.681076201372001
"60-65","2015","woman",0.310584514522809,0.689415485477191,0.283759036508027,0.337409992537591,0.662590007462409,0.716240963491973
"65-70","2015","woman",0.296928282039993,0.703071717960007,0.266698998545318,0.327157565534668,0.672842434465331,0.733301001454682
"70-75","2015","woman",0.228026902371526,0.771973097628474,0.191865573437501,0.26418823130555,0.73581176869445,0.808134426562499
"75-80","2015","woman",0.317713515271494,0.682286484728506,0.257157614088162,0.378269416454826,0.621730583545174,0.742842385911838
"80+","2015","woman",0.296731509885316,0.703268490114684,0.243510891056163,0.349952128714469,0.650047871285531,0.756489108943837
"50-55","2015","man",0.530768166701742,0.469231833298258,0.494918466054438,0.566617867349046,0.433382132650954,0.505081533945562
"55-60","2015","man",0.491727575440903,0.508272424559097,0.455689046221667,0.527766104660139,0.472233895339861,0.544310953778333
"60-65","2015","man",0.410122891296455,0.589877108703545,0.3781799556891,0.44206582690381,0.55793417309619,0.6218200443109
"65-70","2015","man",0.358003261028861,0.641996738971139,0.324465382218128,0.391541139839594,0.608458860160406,0.675534617781872
"70-75","2015","man",0.319056251698838,0.680943748301162,0.27749589529577,0.360616608101905,0.639383391898095,0.72250410470423
"75-80","2015","man",0.289900530366658,0.710099469633342,0.240478075698549,0.339322985034767,0.660677014965233,0.759521924301451
"80+","2015","man",0.281198541074319,0.718801458925681,0.200411222010015,0.361985860138622,0.638014139861378,0.799588777989985
