age,year,gender,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
50-55,2014,woman,0.888551547,0.111448453,0.837035106,0.940067989,0.059932011,0.162964894
55-60,2014,woman,0.878662565,0.121337435,0.857883711,0.899441419,0.100558581,0.142116289
60-65,2014,woman,0.880201464,0.119798536,0.859016963,0.901385964,0.098614036,0.140983037
65-70,2014,woman,0.873017453,0.126982547,0.853541836,0.89249307,0.10750693,0.146458164
70-75,2014,woman,0.817717497,0.182282503,0.790638315,0.844796679,0.155203321,0.209361685
75-80,2014,woman,0.816390647,0.183609353,0.793117745,0.839663549,0.160336451,0.206882255
80+,2014,woman,0.687128425,0.312871575,0.66323082,0.71102603,0.28897397,0.33676918
50-55,2014,man,0.903808117,0.096191883,0.815483177,0.992133058,0.007866942,0.184516823
55-60,2014,man,0.894691676,0.105308324,0.874679495,0.914703858,0.085296142,0.125320505
60-65,2014,man,0.877994415,0.122005585,0.857710109,0.89827872,0.10172128,0.142289891
65-70,2014,man,0.885748604,0.114251396,0.863876154,0.907621055,0.092378945,0.136123846
70-75,2014,man,0.880794855,0.119205145,0.853189515,0.908400196,0.091599804,0.146810485
75-80,2014,man,0.835844111,0.164155889,0.809663287,0.862024935,0.137975065,0.190336713
80+,2014,man,0.727437978,0.272562022,0.700048898,0.754827057,0.245172943,0.299951102
