"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy"
"50-55","2017","woman",0.891838743476902,0.108161256523098,0.881943114349295,0.901734372604508,0.0982656273954921,0.118056885650705
"55-60","2017","woman",0.864420481392549,0.135579518607451,0.853152886331318,0.87568807645378,0.12431192354622,0.146847113668682
"60-65","2017","woman",0.829742241695476,0.170257758304524,0.817216382722691,0.84226810066826,0.15773189933174,0.182783617277309
"65-70","2017","woman",0.78631389509052,0.21368610490948,0.771326817805166,0.801300972375874,0.198699027624126,0.228673182194833
"70-75","2017","woman",0.710303746785345,0.289696253214655,0.689671396154516,0.730936097416174,0.269063902583826,0.310328603845484
"75-80","2017","woman",0.658873278591728,0.341126721408272,0.631269282885117,0.686477274298338,0.313522725701662,0.368730717114883
"80+","2017","woman",0.5406809501159,0.4593190498841,0.512585120812406,0.568776779419394,0.431223220580606,0.487414879187594
"50-55","2017","man",0.929885868391372,0.0701141316086279,0.920606526348651,0.939165210434093,0.0608347895659068,0.079393473651349
"55-60","2017","man",0.909648036523146,0.0903519634768543,0.898597758640522,0.92069831440577,0.0793016855942302,0.101402241359478
"60-65","2017","man",0.871458808935664,0.128541191064336,0.8593079992535,0.883609618617828,0.116390381382172,0.1406920007465
"65-70","2017","man",0.835324812041778,0.164675187958222,0.821433593816567,0.849216030266989,0.150783969733011,0.178566406183434
"70-75","2017","man",0.789704654568722,0.210295345431278,0.771083640880931,0.808325668256513,0.191674331743487,0.228916359119069
"75-80","2017","man",0.734478245569895,0.265521754430105,0.707573770034846,0.761382721104943,0.238617278895057,0.292426229965153
"80+","2017","man",0.64930534821006,0.35069465178994,0.619870684931155,0.678740011488965,0.321259988511035,0.380129315068845
